repo,time_period,pBFC_rate,pRevert_rate,pBIC_rate,pBIC_count,total_commits_prod,unique_authors,avg_commits_per_author,total_commits_emotions,frustration_count,frustration_ratio,avg_frustration_score,satisfaction_count,satisfaction_ratio,avg_satisfaction_score,neutral_count,neutral_ratio,avg_neutral_score,caution_count,caution_ratio,avg_caution_score,avg_emotion_score_overall,avg_files_changed,avg_lines_added,avg_lines_deleted,commits_with_churn
angular/angular,2014-Q4,0.0,0.0,1.0,1,1,1,1.0,1,0,0.0,,0,0.0,,1,1.0,0.9988263,0,0.0,,0.9988263,0.0,0.0,0.0,0
angular/angular,2015-Q1,0.0,0.0,1.0,2,2,2,1.0,2,0,0.0,,0,0.0,,2,1.0,0.998172075,0,0.0,,0.998172075,0.0,0.0,0.0,0
angular/angular,2015-Q2,0.16666666666666666,0.16666666666666666,0.8333333333333334,5,6,5,1.2,6,0,0.0,,1,0.16666666666666666,0.99096346,4,0.6666666666666666,0.9474973025,1,0.16666666666666666,0.99909055,0.9633405366666666,0.0,0.0,0.0,0
angular/angular,2015-Q3,0.75,0.0,0.25,1,4,4,1.0,4,2,0.5,0.81489895,1,0.25,0.9893721,0,0.0,,1,0.25,0.9993691,0.904634775,0.0,0.0,0.0,0
angular/angular,2015-Q4,0.0,0.0,1.0,3,3,2,1.5,3,0,0.0,,2,0.6666666666666666,0.9344337,1,0.3333333333333333,0.9987413,0,0.0,,0.9558695666666667,0.0,0.0,0.0,0
angular/angular,2016-Q1,0.0,0.0,1.0,1,1,1,1.0,1,0,0.0,,1,1.0,0.99926275,0,0.0,,0,0.0,,0.99926275,0.0,0.0,0.0,0
angular/angular,2016-Q2,0.0,0.0,1.0,3,3,3,1.0,3,2,0.6666666666666666,0.90318305,0,0.0,,0,0.0,,1,0.3333333333333333,0.95174897,0.9193716900000001,0.0,0.0,0.0,0
angular/angular,2016-Q3,0.0,0.0,1.0,3,3,2,1.5,3,0,0.0,,0,0.0,,2,0.6666666666666666,0.9714415,1,0.3333333333333333,0.9900345,0.9776391666666666,0.0,0.0,0.0,0
angular/angular,2016-Q4,0.0,0.0,1.0,2,2,2,1.0,2,0,0.0,,1,0.5,0.9957402,1,0.5,0.99842024,0,0.0,,0.99708022,0.0,0.0,0.0,0
angular/angular,2017-Q1,0.25,0.0,0.75,3,4,4,1.0,4,2,0.5,0.9994762500000001,1,0.25,0.9947674,1,0.25,0.9983315,0,0.0,,0.9980128500000001,0.0,0.0,0.0,0
angular/angular,2017-Q2,0.25,0.0,0.75,3,4,4,1.0,4,1,0.25,0.9976367,1,0.25,0.99584854,1,0.25,0.9983829,1,0.25,0.95870113,0.9876423175,0.0,0.0,0.0,0
angular/angular,2017-Q3,0.0,0.0,1.0,3,3,2,1.5,3,0,0.0,,1,0.3333333333333333,0.94573116,2,0.6666666666666666,0.99498365,0,0.0,,0.9785661533333334,0.0,0.0,0.0,0
angular/angular,2017-Q4,0.0,0.0,1.0,2,2,2,1.0,2,0,0.0,,0,0.0,,2,1.0,0.99746833,0,0.0,,0.99746833,0.0,0.0,0.0,0
angular/angular,2018-Q1,0.3333333333333333,0.0,0.6666666666666666,2,3,3,1.0,3,1,0.3333333333333333,0.9885324,2,0.6666666666666666,0.9838598000000001,0,0.0,,0,0.0,,0.9854173333333334,0.0,0.0,0.0,0
